,label,image
Dicellograptus bispiralis,103201,HXU_1176.jpg
Dicellograptus bispiralis,103201,HXU_1177.jpg
Dicellograptus bispiralis,103201,HXU_1178.jpg
Dicellograptus bispiralis,103201,HXU_1179.jpg
Dicellograptus bispiralis,103201,HXU_1180.jpg
Dicellograptus bispiralis,103201,HXU_1181.jpg
Dicellograptus bispiralis,103201,HXU_1182.jpg
Dicellograptus bispiralis,103201,HXU_1183.jpg
Dicellograptus bispiralis,103201,HXU_1184.jpg
Dicellograptus bispiralis,103201,HXU_1185.jpg
Dicellograptus bispiralis,103201,HXU_1186.jpg
Dicellograptus bispiralis,103201,HXU_1187.jpg
Dicellograptus bispiralis,103201,HXU_1188.jpg
Dicellograptus bispiralis,103201,HXU_1189.jpg
Dicellograptus bispiralis,103201,HXU_1190.jpg
Dicellograptus bispiralis,103201,HXU_1191.jpg
Dicellograptus bispiralis,103201,HXU_1192.jpg
Dicellograptus bispiralis,103201,HXU_1193.jpg
Dicellograptus bispiralis,103201,HXU_1194.jpg
Dicellograptus bispiralis,103201,HXU_1195.jpg
Dicellograptus bispiralis,103201,HXU_1196.jpg
Dicellograptus bispiralis,103201,HXU_1197.jpg
Dicellograptus bispiralis,103201,HXU_1198.jpg
Dicellograptus bispiralis,103201,HXU_1199.jpg
Dicellograptus bispiralis,103201,HXU_1200.jpg
Dicellograptus bispiralis,103201,HXU_1201.jpg
Dicellograptus bispiralis,103201,HXU_1202.jpg
Dicellograptus bispiralis,103201,HXU_1203.jpg
Dicellograptus bispiralis,103201,HXU_1204.jpg
Dicellograptus bispiralis,103201,HXU_1205.jpg
Dicellograptus bispiralis,103201,HXU_1206.jpg
Dicellograptus bispiralis,103201,HXU_1207.jpg
Dicellograptus bispiralis,103201,HXU_1208.jpg
Dicellograptus bispiralis,103201,HXU_1209.jpg
Dicellograptus bispiralis,103201,HXU_1210.jpg
Dicellograptus bispiralis,103201,HXU_1211.jpg
Dicellograptus bispiralis,103201,image0286.jpg
Dicellograptus bispiralis,103201,image0287.jpg
Dicellograptus bispiralis,103201,image0288.jpg
Dicellograptus bispiralis,103201,image0289.jpg
Dicellograptus bispiralis,103201,image0290.jpg
Dicellograptus bispiralis,103201,image0291.jpg
Dicellograptus bispiralis,103201,image0292.jpg
Dicellograptus bispiralis,103201,image0293.jpg
Dicellograptus bispiralis,103201,image0294.jpg
Dicellograptus bispiralis,103201,image0295.jpg
Dicellograptus bispiralis,103201,image0296.jpg
Dicellograptus bispiralis,103201,image0297.jpg
Dicellograptus bispiralis,103201,image0298.jpg
Dicellograptus bispiralis,103201,image0299.jpg
Dicellograptus bispiralis,103201,image0300.jpg
Dicellograptus bispiralis,103201,image0301.jpg
Dicellograptus bispiralis,103201,image0302.jpg
Dicellograptus bispiralis,103201,image0303.jpg
Dicellograptus bispiralis,103201,image0304.jpg
Dicellograptus bispiralis,103201,image0305.jpg
Dicellograptus bispiralis,103201,image0306.jpg
Dicellograptus bispiralis,103202,HXU_1212.jpg
Dicellograptus bispiralis,103202,HXU_1213.jpg
Dicellograptus bispiralis,103202,HXU_1214.jpg
Dicellograptus bispiralis,103202,HXU_1215.jpg
Dicellograptus bispiralis,103202,HXU_1216.jpg
Dicellograptus bispiralis,103202,HXU_1217.jpg
Dicellograptus bispiralis,103202,HXU_1218.jpg
Dicellograptus bispiralis,103202,HXU_1219.jpg
Dicellograptus bispiralis,103202,HXU_1220.jpg
Dicellograptus bispiralis,103202,HXU_1221.jpg
Dicellograptus bispiralis,103202,HXU_1222.jpg
Dicellograptus bispiralis,103202,HXU_1223.jpg
Dicellograptus bispiralis,103202,HXU_1224.jpg
Dicellograptus bispiralis,103202,HXU_1225.jpg
Dicellograptus bispiralis,103202,HXU_1226.jpg
Dicellograptus bispiralis,103202,HXU_1227.jpg
Dicellograptus bispiralis,103202,HXU_1228.jpg
Dicellograptus bispiralis,103202,HXU_1229.jpg
Dicellograptus bispiralis,103202,image0307.jpg
Dicellograptus bispiralis,103202,image0308.jpg
Dicellograptus bispiralis,103202,image0309.jpg
Dicellograptus bispiralis,103202,image0310.jpg
Dicellograptus bispiralis,103202,image0311.jpg
Dicellograptus bispiralis,103202,image0312.jpg
Dicellograptus bispiralis,103202,image0313.jpg
Dicellograptus bispiralis,103202,image0314.jpg
Dicellograptus bispiralis,103202,image0315.jpg
Dicellograptus bispiralis,103202,image0316.jpg
